experiment "Irregular waves for ECN campaign SOFTWIND SPAR" with ("nantes_main_posn/default.ttf")
/* Wave data read from .dat files prepared with MatLab routine LHEEA_irrwave_generation_SW_SPAR_additionnal.m */
/* Poly-chromatic wave data*/
wave (or run) 1;
Period	Frequency	Amplitude	Height	Direction	Phase
s	Hz	m	m	deg	rad
2.78261	0.359375	0.000121959	0.000243918	0	2.62023
2.77507	0.360352	0.000126613	0.000253226	0	4.52593
2.76757	0.361328	0.000131369	0.000262738	0	0.000718638
2.76011	0.362305	0.000136226	0.000272452	0	1.89961
2.75269	0.363281	0.000141184	0.000282367	0	0.922094
2.74531	0.364258	0.000146242	0.000292483	0	0.580181
2.73797	0.365234	0.000151399	0.000302798	0	1.17031
2.73067	0.366211	0.000156655	0.00031331	0	2.17122
2.7234	0.367188	0.000162009	0.000324017	0	2.49296
2.71618	0.368164	0.000167459	0.000334918	0	3.38549
2.70899	0.369141	0.000173006	0.000346011	0	2.63388
2.70185	0.370117	0.000178647	0.000357293	0	4.30536
2.69474	0.371094	0.000184381	0.000368763	0	1.28461
2.68766	0.37207	0.000190209	0.000380417	0	5.51737
2.68063	0.373047	0.000196127	0.000392254	0	0.172081
2.67363	0.374023	0.000202135	0.000404271	0	4.21267
2.66667	0.375	0.000208232	0.000416464	0	2.622
2.65974	0.375977	0.000214416	0.000428831	0	3.51035
2.65285	0.376953	0.000220685	0.000441369	0	0.882077
2.64599	0.37793	0.000227038	0.000454075	0	1.24471
2.63918	0.378906	0.000233473	0.000466946	0	5.03123
2.63239	0.379883	0.000239989	0.000479978	0	6.08377
2.62564	0.380859	0.000246584	0.000493168	0	1.9693
2.61893	0.381836	0.000253256	0.000506512	0	4.34999
2.61224	0.382813	0.000260004	0.000520008	0	5.50652
2.6056	0.383789	0.000266825	0.00053365	0	5.62098
2.59898	0.384766	0.000273718	0.000547436	0	0.534349
2.59241	0.385742	0.000280681	0.000561361	0	0.245388
2.58586	0.386719	0.000287711	0.000575422	0	1.06708
2.57935	0.387695	0.000294808	0.000589615	0	5.51753
2.57286	0.388672	0.000301968	0.000603936	0	0.617931
2.56642	0.389648	0.00030919	0.00061838	0	2.6459
2.56	0.390625	0.000316472	0.000632944	0	6.0186
2.55362	0.391602	0.000323812	0.000647624	0	3.34998
2.54726	0.392578	0.000331207	0.000662414	0	4.34719
2.54094	0.393555	0.000338656	0.000677312	0	1.98244
2.53465	0.394531	0.000346156	0.000692313	0	4.31341
2.5284	0.395508	0.000353706	0.000707412	0	5.24411
2.52217	0.396484	0.000361303	0.000722605	0	0.114909
2.51597	0.397461	0.000368944	0.000737888	0	4.7133
2.5098	0.398438	0.000376629	0.000753257	0	6.2132
2.50367	0.399414	0.000384353	0.000768707	0	4.70086
2.49756	0.400391	0.000392117	0.000784234	0	1.76208
2.49148	0.401367	0.000399916	0.000799833	0	4.95919
2.48544	0.402344	0.00040775	0.0008155	0	0.648588
2.47942	0.40332	0.000415615	0.00083123	0	2.8142
2.47343	0.404297	0.00042351	0.00084702	0	5.70887
2.46747	0.405273	0.000431433	0.000862865	0	1.84483
2.46154	0.40625	0.000439381	0.000878761	0	1.80815
2.45564	0.407227	0.000447351	0.000894703	0	0.816994
2.44976	0.408203	0.000455343	0.000910687	0	0.121686
2.44391	0.40918	0.000463354	0.000926708	0	4.26525
2.4381	0.410156	0.000471382	0.000942763	0	1.3297
2.4323	0.411133	0.000479424	0.000958847	0	1.66848
2.42654	0.412109	0.000487478	0.000974956	0	3.08865
2.4208	0.413086	0.000495543	0.000991086	0	0.335287
2.41509	0.414063	0.000503616	0.00100723	0	3.60729
2.40941	0.415039	0.000511696	0.00102339	0	0.921923
2.40376	0.416016	0.00051978	0.00103956	0	3.70272
2.39813	0.416992	0.000527866	0.00105573	0	4.39671
2.39252	0.417969	0.000535952	0.0010719	0	0.642986
2.38695	0.418945	0.000544037	0.00108807	0	2.60159
2.3814	0.419922	0.000552117	0.00110423	0	4.36304
2.37587	0.420898	0.000560193	0.00112039	0	2.60237
2.37037	0.421875	0.00056826	0.00113652	0	0.313867
2.3649	0.422852	0.000576319	0.00115264	0	3.36714
2.35945	0.423828	0.000584366	0.00116873	0	4.17074
2.35402	0.424805	0.0005924	0.0011848	0	3.23514
2.34862	0.425781	0.00060042	0.00120084	0	5.93506
2.34325	0.426758	0.000608422	0.00121684	0	3.68543
2.3379	0.427734	0.000616407	0.00123281	0	5.67624
2.33257	0.428711	0.000624372	0.00124874	0	0.863779
2.32727	0.429688	0.000632314	0.00126463	0	0.875099
2.322	0.430664	0.000640234	0.00128047	0	5.07299
2.31674	0.431641	0.000648129	0.00129626	0	2.49868
2.31151	0.432617	0.000655997	0.00131199	0	1.03895
2.30631	0.433594	0.000663837	0.00132767	0	5.82771
