experiment "Irregular waves for ECN campaign SOFTWIND SPAR" with ("nantes_main_posn/default.ttf")
/* Wave data read from .dat files prepared with MatLab routine LHEEA_irrwave_generation_SW_SPAR_additionnal.m */
/* Poly-chromatic wave data*/
wave (or run) 1;
Period	Frequency	Amplitude	Height	Direction	Phase
s	Hz	m	m	deg	rad
2.78261	0.359375	0.000211525	0.00042305	0	2.62023
2.77507	0.360352	0.000219591	0.000439182	0	4.52593
2.76757	0.361328	0.000227833	0.000455667	0	0.000718638
2.76011	0.362305	0.000236251	0.000472502	0	1.89961
2.75269	0.363281	0.000244843	0.000489686	0	0.922094
2.74531	0.364258	0.000253608	0.000507217	0	0.580181
2.73797	0.365234	0.000262546	0.000525091	0	1.17031
2.73067	0.366211	0.000271654	0.000543308	0	2.17122
2.7234	0.367188	0.000280931	0.000561862	0	2.49296
2.71618	0.368164	0.000290376	0.000580752	0	3.38549
2.70899	0.369141	0.000299987	0.000599973	0	2.63388
2.70185	0.370117	0.000309761	0.000619522	0	4.30536
2.69474	0.371094	0.000319698	0.000639396	0	1.28461
2.68766	0.37207	0.000329794	0.000659589	0	5.51737
2.68063	0.373047	0.000340049	0.000680097	0	0.172081
2.67363	0.374023	0.000350458	0.000700916	0	4.21267
2.66667	0.375	0.000361021	0.000722042	0	2.622
2.65974	0.375977	0.000371734	0.000743468	0	3.51035
2.65285	0.376953	0.000382595	0.00076519	0	0.882077
2.64599	0.37793	0.000393601	0.000787202	0	1.24471
2.63918	0.378906	0.00040475	0.000809499	0	5.03123
2.63239	0.379883	0.000416038	0.000832075	0	6.08377
2.62564	0.380859	0.000427462	0.000854924	0	1.9693
2.61893	0.381836	0.00043902	0.00087804	0	4.34999
2.61224	0.382813	0.000450708	0.000901417	0	5.50652
2.6056	0.383789	0.000462524	0.000925048	0	5.62098
2.59898	0.384766	0.000474464	0.000948927	0	0.534349
2.59241	0.385742	0.000486524	0.000973048	0	0.245388
2.58586	0.386719	0.000498702	0.000997403	0	1.06708
2.57935	0.387695	0.000510993	0.00102199	0	5.51753
2.57286	0.388672	0.000523395	0.00104679	0	0.617931
2.56642	0.389648	0.000535904	0.00107181	0	2.6459
2.56	0.390625	0.000548516	0.00109703	0	6.0186
2.55362	0.391602	0.000561228	0.00112246	0	3.34998
2.54726	0.392578	0.000574036	0.00114807	0	4.34719
2.54094	0.393555	0.000586936	0.00117387	0	1.98244
2.53465	0.394531	0.000599925	0.00119985	0	4.31341
2.5284	0.395508	0.000613	0.001226	0	5.24411
2.52217	0.396484	0.000626155	0.00125231	0	0.114909
2.51597	0.397461	0.000639388	0.00127878	0	4.7133
2.5098	0.398438	0.000652695	0.00130539	0	6.2132
2.50367	0.399414	0.000666072	0.00133214	0	4.70086
2.49756	0.400391	0.000679516	0.00135903	0	1.76208
2.49148	0.401367	0.000693021	0.00138604	0	4.95919
2.48544	0.402344	0.000706586	0.00141317	0	0.648588
2.47942	0.40332	0.000720205	0.00144041	0	2.8142
2.47343	0.404297	0.000733875	0.00146775	0	5.70887
2.46747	0.405273	0.000747593	0.00149519	0	1.84483
2.46154	0.40625	0.000761355	0.00152271	0	1.80815
2.45564	0.407227	0.000775156	0.00155031	0	0.816994
2.44976	0.408203	0.000788993	0.00157799	0	0.121686
2.44391	0.40918	0.000802863	0.00160573	0	4.26525
2.4381	0.410156	0.000816761	0.00163352	0	1.3297
2.4323	0.411133	0.000830684	0.00166137	0	1.66848
2.42654	0.412109	0.000844629	0.00168926	0	3.08865
2.4208	0.413086	0.000858592	0.00171718	0	0.335287
2.41509	0.414063	0.000872569	0.00174514	0	3.60729
2.40941	0.415039	0.000886556	0.00177311	0	0.921923
2.40376	0.416016	0.000900551	0.0018011	0	3.70272
2.39813	0.416992	0.000914549	0.0018291	0	4.39671
2.39252	0.417969	0.000928547	0.00185709	0	0.642986
2.38695	0.418945	0.000942542	0.00188508	0	2.60159
2.3814	0.419922	0.000956531	0.00191306	0	4.36304
2.37587	0.420898	0.00097051	0.00194102	0	2.60237
2.37037	0.421875	0.000984475	0.00196895	0	0.313867
2.3649	0.422852	0.000998424	0.00199685	0	3.36714
2.35945	0.423828	0.00101235	0.00202471	0	4.17074
2.35402	0.424805	0.00102626	0.00205252	0	3.23514
2.34862	0.425781	0.00104014	0.00208028	0	5.93506
2.34325	0.426758	0.00105399	0.00210799	0	3.68543
2.3379	0.427734	0.00106781	0.00213563	0	5.67624
2.33257	0.428711	0.0010816	0.0021632	0	0.863779
2.32727	0.429688	0.00109535	0.0021907	0	0.875099
2.322	0.430664	0.00110905	0.00221811	0	5.07299
2.31674	0.431641	0.00112272	0.00224544	0	2.49868
2.31151	0.432617	0.00113634	0.00227267	0	1.03895
2.30631	0.433594	0.00114991	0.00229981	0	5.82771
2.30112	0.43457	0.00116342	0.00232685	0	2.18508
2.29596	0.435547	0.00117689	0.00235378	0	4.71749
2.29083	0.436523	0.0011903	0.00238059	0	4.56158
2.28571	0.4375	0.00120364	0.00240729	0	5.54998
2.28062	0.438477	0.00121693	0.00243386	0	3.91865
2.27556	0.439453	0.00123016	0.00246031	0	4.71831
2.27051	0.44043	0.00124331	0.00248663	0	2.19219
2.26549	0.441406	0.0012564	0.00251281	0	1.69601
2.26049	0.442383	0.00126942	0.00253885	0	5.62902
2.25551	0.443359	0.00128237	0.00256474	0	2.68978
2.25055	0.444336	0.00129524	0.00259049	0	6.06227
2.24561	0.445313	0.00130804	0.00261608	0	4.16853
2.2407	0.446289	0.00132076	0.00264152	0	3.90623
2.23581	0.447266	0.0013334	0.0026668	0	0.72097
2.23094	0.448242	0.00134595	0.00269191	0	5.96582
2.22609	0.449219	0.00135843	0.00271685	0	2.82688
2.22126	0.450195	0.00137081	0.00274162	0	3.63413
2.21645	0.451172	0.00138311	0.00276622	0	2.5644
2.21166	0.452148	0.00139532	0.00279064	0	1.48928
2.2069	0.453125	0.00140744	0.00281488	0	5.6761
2.20215	0.454102	0.00141947	0.00283894	0	3.60453
2.19742	0.455078	0.00143141	0.00286281	0	0.0180348
2.19272	0.456055	0.00144325	0.00288649	0	3.87764
2.18803	0.457031	0.00145499	0.00290998	0	2.05237
2.18337	0.458008	0.00146664	0.00293327	0	3.3116
2.17872	0.458984	0.00147818	0.00295637	0	5.56654
2.1741	0.459961	0.00148963	0.00297926	0	2.24479
2.16949	0.460938	0.00150098	0.00300196	0	5.70849
2.1649	0.461914	0.00151222	0.00302445	0	3.91669
2.16034	0.462891	0.00152337	0.00304673	0	0.0994078
2.15579	0.463867	0.00153441	0.00306881	0	5.83983
2.15126	0.464844	0.00154534	0.00309068	0	4.34103
2.14675	0.46582	0.00155617	0.00311233	0	6.26636
2.14226	0.466797	0.00156689	0.00313377	0	1.08285
2.13779	0.467773	0.0015775	0.003155	0	0.861649
2.13333	0.46875	0.001588	0.00317601	0	5.85967
2.1289	0.469727	0.0015984	0.0031968	0	4.37824
2.12448	0.470703	0.00160869	0.00321737	0	0.414691
2.12008	0.47168	0.00161886	0.00323772	0	4.74671
2.1157	0.472656	0.00162893	0.00325785	0	4.73674
2.11134	0.473633	0.00163888	0.00327776	0	5.79953
2.107	0.474609	0.00164872	0.00329744	0	4.47064
2.10267	0.475586	0.00165845	0.0033169	0	0.780817
2.09836	0.476563	0.00166807	0.00333613	0	0.124911
2.09407	0.477539	0.00167757	0.00335514	0	0.164688
2.0898	0.478516	0.00168696	0.00337392	0	0.177855
2.08554	0.479492	0.00169624	0.00339247	0	1.54699
2.0813	0.480469	0.0017054	0.00341079	0	5.40371
2.07708	0.481445	0.00171444	0.00342889	0	3.38558
2.07287	0.482422	0.00172338	0.00344675	0	3.47348
2.06869	0.483398	0.00173219	0.00346439	0	5.29064
2.06452	0.484375	0.0017409	0.0034818	0	0.780204
2.06036	0.485352	0.00174949	0.00349897	0	1.75416
2.05622	0.486328	0.00175796	0.00351592	0	3.68043
2.0521	0.487305	0.00176632	0.00353263	0	6.09215
2.048	0.488281	0.00177456	0.00354912	0	3.52506
2.04391	0.489258	0.00178269	0.00356537	0	0.117164
2.03984	0.490234	0.0017907	0.0035814	0	5.03052
2.03579	0.491211	0.0017986	0.0035972	0	1.46382
2.03175	0.492188	0.00180638	0.00361276	0	5.07119
2.02772	0.493164	0.00181405	0.0036281	0	2.437
2.02372	0.494141	0.0018216	0.00364321	0	5.42579
2.01972	0.495117	0.00182904	0.00365808	0	4.6943
2.01575	0.496094	0.00183637	0.00367273	0	3.49496
2.01179	0.49707	0.00184358	0.00368716	0	0.857373
2.00784	0.498047	0.00185068	0.00370135	0	0.376474
2.00391	0.499023	0.00185766	0.00371532	0	0.762423
2	0.5	0.00186453	0.00372906	0	0.279928
1.9961	0.500977	0.00187129	0.00374258	0	0.675406
1.99222	0.501953	0.00187793	0.00375587	0	1.41817
