# Forces      
# CofR        : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.001         	((-1.1076112e-02 -3.7258389e-03 1.4895524e+03) (-2.6664578e-08 1.4790266e-07 -4.9246934e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-1.2695791e-03 7.6918967e-03 6.6009888e-05) (1.0508070e-07 -5.6319645e-08 2.6446958e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.002         	((2.9511690e-03 9.0748677e-04 3.2404422e+03) (-6.0646111e-08 2.1878655e-07 -4.9867601e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-8.1856308e-03 -3.4331029e-02 3.1309007e-05) (1.5935775e-07 1.5408369e-07 3.6563795e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.003         	((3.1383316e-04 4.0306841e-03 3.9985353e+03) (-2.8177803e-08 2.1059166e-07 -4.9482911e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((4.0064019e-03 4.1723468e-02 -8.5078116e-06) (1.6637987e-07 2.1521780e-07 2.4785440e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.004         	((-3.3688810e-03 -1.6654787e-03 3.3661130e+03) (9.9734994e-08 2.2609392e-07 -4.9023794e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.1895946e-03 3.7917783e-03 1.2784852e-06) (1.8648939e-07 6.4877950e-08 1.5825682e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.005         	((2.6126049e-03 2.5116048e-03 3.3079866e+03) (1.5393484e-07 2.2067536e-07 -4.8985608e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.3163216e-04 2.0388087e-03 -5.3127889e-07) (1.9534690e-07 3.9801349e-08 1.4053019e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.006         	((-1.4557365e-04 -1.4903008e-03 3.3264405e+03) (1.9201725e-07 2.5385762e-07 -4.8974826e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.1054269e-03 3.9215920e-03 9.2755349e-07) (1.9672972e-07 1.9270819e-08 1.1882181e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.007         	((-4.0990745e-04 -5.1502709e-04 3.3201626e+03) (2.2654869e-07 2.7832395e-07 -4.8952301e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-1.2369758e-03 3.2752388e-03 5.5151915e-07) (2.0046010e-07 9.8196568e-10 1.2241161e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.008         	((-4.7301280e-05 -2.6595926e-04 3.3311312e+03) (2.5124614e-07 2.9144970e-07 -4.8925954e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-9.2515035e-04 2.6572709e-03 2.2374628e-07) (2.0361049e-07 -1.5457551e-08 1.2382927e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.009         	((-1.2086486e-03 -8.5285048e-04 3.3213297e+03) (2.6827835e-07 3.0532122e-07 -4.8900449e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.0078016e-03 4.8633894e-03 7.3921564e-08) (2.0637894e-07 -2.7779060e-08 1.2178783e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.01          	((3.8133472e-03 1.7925571e-03 3.3337449e+03) (2.8557535e-07 3.2036603e-07 -4.8872795e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((8.3903725e-04 -2.3529190e-03 -1.5829409e-07) (2.0977616e-07 -4.0761605e-08 1.2358601e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.011         	((-5.3926489e-03 -2.8130966e-03 3.3220233e+03) (2.9764846e-07 3.3237493e-07 -4.8846221e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-4.5803575e-03 1.1007971e-02 -2.3170854e-07) (2.1081166e-07 -4.7990279e-08 1.2490305e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.012         	((-5.8512763e-03 9.5280520e-03 3.3350853e+03) (3.0336076e-07 3.4866411e-07 -4.8818480e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((1.3151045e-02 7.9323649e-03 -4.1876465e-07) (2.1925332e-07 -4.8712289e-08 1.2616015e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.013         	((1.1849042e-02 -1.5059534e-02 3.3228130e+03) (3.1874859e-07 3.5754197e-07 -4.8791435e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.2340569e-02 -9.7499243e-03 -4.1521256e-07) (2.1669623e-07 -6.0152912e-08 1.2774639e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.014         	((-8.0184161e-03 1.1055629e-02 3.3351296e+03) (3.3094042e-07 3.6642763e-07 -4.8764384e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((1.4624786e-02 1.0806912e-02 -6.1367417e-07) (2.1579659e-07 -6.8624315e-08 1.2864499e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.015         	((2.2376235e-03 -8.5489322e-03 3.3237610e+03) (3.3756582e-07 3.7805233e-07 -4.8737622e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-1.2442014e-02 1.4269392e-03 -5.7358796e-07) (2.1956342e-07 -7.0702612e-08 1.2993371e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.016         	((-3.2413541e-03 1.1785918e-02 3.3346788e+03) (3.4630814e-07 3.9044806e-07 -4.8711306e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((1.5651712e-02 4.9236109e-03 -7.2474200e-07) (2.2467914e-07 -7.5619308e-08 1.3178855e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
