Time(s) Pressure(mBar)
36.862000 5.068963 
36.863000 4.201869 
36.864000 3.707675 
36.865000 3.394310 
36.866000 3.184551 
36.867000 3.039413 
36.868000 2.936562 
36.869000 2.862376 
36.870000 2.808074 
36.871000 2.767267 
36.872000 2.736367 
36.873000 2.712798 
36.874000 2.694668 
36.875000 2.680605 
36.876000 2.669443 
36.877000 2.660466 
36.878000 2.653254 
36.879000 2.647325 
36.880000 2.642356 
36.881000 2.638122 
36.882000 2.634369 
36.883000 2.631106 
36.884000 2.628156 
36.885000 2.625451 
36.886000 2.622981 
36.887000 2.621090 
36.888000 2.618650 
36.889000 2.616602 
36.890000 2.614642 
36.891000 2.612731 
36.892000 2.610888 
36.893000 2.609114 
36.894000 2.607350 
36.895000 2.605645 
36.896000 2.603891 
36.897000 2.602186 
36.898000 2.600461 
36.899000 2.598746 
36.900000 2.597060 
36.901000 2.595385 
36.902000 2.593787 
36.903000 2.592170 
36.904000 2.590573 
36.905000 2.588995 
36.906000 2.587398 
36.907000 2.585888 
36.908000 2.584291 
36.909000 2.582645 
36.910000 2.581077 
36.911000 2.579607 
36.912000 2.578029 
36.913000 2.576441 
36.914000 2.574932 
36.915000 2.573413 
36.916000 2.571914 
36.917000 2.570424 
36.918000 2.568876 
36.919000 2.567347 
36.920000 2.565838 
36.921000 2.564387 
36.922000 2.562760 
36.923000 2.561202 
36.924000 2.559722 
36.925000 2.558203 
36.926000 2.556714 
36.927000 2.555067 
36.928000 2.553568 
36.929000 2.552029 
36.930000 2.550550 
36.931000 2.548854 
36.932000 2.547286 
36.933000 2.545679 
36.934000 2.544444 
36.935000 2.542915 
36.936000 2.541318 
36.937000 2.539750 
36.938000 2.538182 
36.939000 2.536536 
36.940000 2.534928 
36.941000 2.533272 
36.942000 2.531685 
36.943000 2.530058 
36.944000 2.528421 
36.945000 2.526794 
36.946000 2.525187 
36.947000 2.523492 
36.948000 2.521855 
36.949000 2.520179 
36.950000 2.518464 
36.951000 2.516867 
36.952000 2.515093 
36.953000 2.513486 
36.954000 2.511673 
36.955000 2.510046 
36.956000 2.508214 
36.957000 2.506450 
36.958000 2.504646 
36.959000 2.502755 
36.960000 2.501403 
36.961000 2.499933 
36.962000 2.498227 
36.963000 2.496463 
36.964000 2.494729 
36.965000 2.493014 
36.966000 2.491279 
36.967000 2.489545 
36.968000 2.487722 
36.969000 2.485948 
36.970000 2.484174 
36.971000 2.482430 
36.972000 2.480666 
36.973000 2.478872 
36.974000 2.477089 
36.975000 2.475237 
36.976000 2.473384 
36.977000 2.471542 
36.978000 2.469680 
36.979000 2.467740 
36.980000 2.465682 
36.981000 2.464221 
36.982000 2.462418 
36.983000 2.460586 
36.984000 2.458616 
36.985000 2.456989 
36.986000 2.455205 
36.987000 2.453334 
36.988000 2.451452 
36.989000 2.449688 
36.990000 2.447983 
36.991000 2.446199 
36.992000 2.444376 
36.993000 2.442465 
36.994000 2.440505 
36.995000 2.438585 
36.996000 2.436732 
36.997000 2.434831 
36.998000 2.432812 
36.999000 2.430803 
37.000000 2.428853 
37.001000 2.426923 
37.002000 2.424943 
37.003000 2.423071 
37.004000 2.420964 
37.005000 2.418965 
37.006000 2.417015 
37.007000 2.415045 
37.008000 2.413026 
37.009000 2.410978 
37.010000 2.409008 
37.011000 2.406980 
37.012000 2.404961 
37.013000 2.402883 
37.014000 2.400884 
37.015000 2.398748 
37.016000 2.396543 
