Time(s) Surface_Elevation(m)
36.861000 0.016180 
36.862000 0.016164 
36.863000 0.016148 
36.864000 0.016132 
36.865000 0.016116 
36.866000 0.016100 
36.867000 0.016083 
36.868000 0.016067 
36.869000 0.016050 
36.870000 0.016034 
36.871000 0.016017 
36.872000 0.016000 
36.873000 0.015983 
36.874000 0.015965 
36.875000 0.015948 
36.876000 0.015930 
36.877000 0.015913 
36.878000 0.015895 
36.879000 0.015877 
36.880000 0.015859 
36.881000 0.015841 
36.882000 0.015823 
36.883000 0.015804 
36.884000 0.015786 
36.885000 0.015767 
36.886000 0.015748 
36.887000 0.015729 
36.888000 0.015710 
36.889000 0.015691 
36.890000 0.015671 
36.891000 0.015651 
36.892000 0.015632 
36.893000 0.015612 
36.894000 0.015592 
36.895000 0.015572 
36.896000 0.015551 
36.897000 0.015531 
36.898000 0.015510 
36.899000 0.015489 
36.900000 0.015468 
36.901000 0.015447 
36.902000 0.015425 
36.903000 0.015404 
36.904000 0.015382 
36.905000 0.015360 
36.906000 0.015338 
36.907000 0.015316 
36.908000 0.015293 
36.909000 0.015271 
36.910000 0.015248 
36.911000 0.015225 
36.912000 0.015202 
36.913000 0.015178 
36.914000 0.015155 
36.915000 0.015131 
36.916000 0.015107 
36.917000 0.015083 
36.918000 0.015058 
36.919000 0.015034 
36.920000 0.015009 
36.921000 0.014984 
36.922000 0.014959 
36.923000 0.014933 
36.924000 0.014907 
36.925000 0.014881 
36.926000 0.014855 
36.927000 0.014829 
36.928000 0.014802 
36.929000 0.014775 
36.930000 0.014748 
36.931000 0.014721 
36.932000 0.014693 
36.933000 0.014665 
36.934000 0.014637 
36.935000 0.014609 
36.936000 0.014580 
36.937000 0.014551 
36.938000 0.014522 
36.939000 0.014492 
36.940000 0.014462 
36.941000 0.014432 
36.942000 0.014402 
36.943000 0.014371 
36.944000 0.014340 
36.945000 0.014309 
36.946000 0.014277 
36.947000 0.014246 
36.948000 0.014214 
36.949000 0.014182 
36.950000 0.014150 
36.951000 0.014118 
36.952000 0.014086 
36.953000 0.014054 
36.954000 0.014022 
36.955000 0.013989 
36.956000 0.013957 
36.957000 0.013924 
36.958000 0.013892 
36.959000 0.013859 
36.960000 0.013826 
36.961000 0.013793 
36.962000 0.013760 
36.963000 0.013727 
36.964000 0.013694 
36.965000 0.013661 
36.966000 0.013627 
36.967000 0.013594 
36.968000 0.013561 
36.969000 0.013527 
36.970000 0.013493 
36.971000 0.013459 
36.972000 0.013426 
36.973000 0.013392 
36.974000 0.013357 
36.975000 0.013323 
36.976000 0.013289 
36.977000 0.013255 
36.978000 0.013220 
36.979000 0.013185 
36.980000 0.013151 
36.981000 0.013116 
36.982000 0.013081 
36.983000 0.013046 
36.984000 0.013011 
36.985000 0.012976 
36.986000 0.012940 
36.987000 0.012905 
36.988000 0.012869 
36.989000 0.012834 
36.990000 0.012798 
36.991000 0.012762 
36.992000 0.012726 
36.993000 0.012690 
36.994000 0.012653 
36.995000 0.012617 
36.996000 0.012581 
36.997000 0.012544 
36.998000 0.012507 
36.999000 0.012470 
37.000000 0.012433 
37.001000 0.012396 
37.002000 0.012359 
37.003000 0.012322 
37.004000 0.012284 
37.005000 0.012247 
37.006000 0.012209 
37.007000 0.012171 
37.008000 0.012132 
37.009000 0.012094 
37.010000 0.012056 
37.011000 0.012017 
37.012000 0.011978 
37.013000 0.011939 
37.014000 0.011899 
37.015000 0.011858 
37.016000 0.011817 
37.017000 0.011776 
37.018000 0.011735 
37.019000 0.011693 
37.020000 0.011651 
37.021000 0.011608 
37.022000 0.011565 
37.023000 0.011522 
37.024000 0.011478 
37.025000 0.011434 
37.026000 0.011390 
37.027000 0.011346 
37.028000 0.011301 
37.029000 0.011256 
37.030000 0.011211 
37.031000 0.011166 
37.032000 0.011120 
37.033000 0.011075 
37.034000 0.011029 
37.035000 0.010982 
37.036000 0.010936 
37.037000 0.010889 
37.038000 0.010842 
37.039000 0.010795 
37.040000 0.010748 
37.041000 0.010701 
37.042000 0.010653 
37.043000 0.010606 
37.044000 0.010558 
37.045000 0.010510 
37.046000 0.010462 
37.047000 0.010413 
37.048000 0.010365 
37.049000 0.010316 
37.050000 0.010268 
37.051000 0.010219 
37.052000 0.010169 
37.053000 0.010120 
37.054000 0.010071 
37.055000 0.010021 
37.056000 0.009971 
37.057000 0.009921 
37.058000 0.009871 
37.059000 0.009821 
37.060000 0.009770 
37.061000 0.009720 
37.062000 0.009669 
37.063000 0.009618 
37.064000 0.009567 
37.065000 0.009516 
37.066000 0.009464 
37.067000 0.009412 
37.068000 0.009360 
37.069000 0.009308 
37.070000 0.009256 
37.071000 0.009204 
37.072000 0.009151 
37.073000 0.009098 
37.074000 0.009045 
37.075000 0.008992 
37.076000 0.008938 
37.077000 0.008884 
37.078000 0.008830 
37.079000 0.008776 
37.080000 0.008722 
37.081000 0.008667 
37.082000 0.008612 
37.083000 0.008557 
37.084000 0.008501 
