# Forces      
# CofR        : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.001         	((4.4994308e+02 -4.0529512e+02 -1.2892603e-15) (3.6394895e-03 -1.8218458e-04 -2.5585061e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-1.9951313e+02 -1.5938041e+02 -1.2706554e-02) (-2.4320820e-04 -1.1441758e-03 -3.4864712e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.002         	((2.6062495e+00 -5.4453432e+02 -1.3311942e-15) (3.4047569e-03 -2.1165662e-04 -2.5632927e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5166985e+02 -4.5346892e-01 -7.3343404e-05) (-2.5358694e-04 -1.0705238e-03 -3.4852375e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.003         	((-2.8636544e+00 -5.4486602e+02 -1.3254608e-15) (3.2835702e-03 -2.2682484e-04 -2.5677617e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5180674e+02 1.1961860e+00 8.1100937e-05) (-2.5916083e-04 -1.0318943e-03 -3.4705840e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.004         	((-5.9917627e+00 -5.4518565e+02 -1.3235035e-15) (3.2263004e-03 -2.3150138e-04 -2.5719572e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5192785e+02 2.2020117e+00 1.7149861e-04) (-2.6093177e-04 -1.0141367e-03 -3.4485017e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.005         	((-6.3502666e+00 -5.4511068e+02 -1.3235415e-15) (3.1809856e-03 -2.3493735e-04 -2.5761249e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5190048e+02 2.3034558e+00 1.8238111e-04) (-2.6227665e-04 -1.0001973e-03 -3.4256045e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.006         	((-6.4287228e+00 -5.4502226e+02 -1.3240952e-15) (3.1414524e-03 -2.3759783e-04 -2.5802601e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5186844e+02 2.3180051e+00 1.8442829e-04) (-2.6335968e-04 -9.8806449e-04 -3.4026964e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.007         	((-6.4595849e+00 -5.4492979e+02 -1.3248211e-15) (3.1057394e-03 -2.3978130e-04 -2.5843684e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5183556e+02 2.3215174e+00 1.8522730e-04) (-2.6428298e-04 -9.7713006e-04 -3.3798486e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.008         	((-6.4755535e+00 -5.4483516e+02 -1.3255345e-15) (3.0727594e-03 -2.4164372e-04 -2.5884542e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5180234e+02 2.3227393e+00 1.8563013e-04) (-2.6510370e-04 -9.6705295e-04 -3.3570681e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.009         	((-6.4870014e+00 -5.4473901e+02 -1.3261212e-15) (3.0418222e-03 -2.4327644e-04 -2.5925203e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5176915e+02 2.3240819e+00 1.8592242e-04) (-2.6585171e-04 -9.5761601e-04 -3.3343436e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.01          	((-6.4974609e+00 -5.4464114e+02 -1.3266134e-15) (3.0124574e-03 -2.4473958e-04 -2.5965708e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.5173571e+02 2.3261158e+00 1.8620396e-04) (-2.6654741e-04 -9.4867071e-04 -3.3116590e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
